DATE,IPG2211N
2015-04-01,88.5477
2015-05-01,93.5168
2015-06-01,108.1813
2015-07-01,118.3568
2015-08-01,117.1375
2015-09-01,107.3046
2015-10-01,92.9818
2015-11-01,89.4954
2015-12-01,96.3086
2016-01-01,105.1879
2016-02-01,98.0069
2016-03-01,90.8029
2016-04-01,87.4594
2016-05-01,92.2811
2016-06-01,109.6104
2016-07-01,121.7478
2016-08-01,123.2163
2016-09-01,108.4514
2016-10-01,93.4264
2016-11-01,89.9026
2016-12-01,101.8836
2017-01-01,102.9398
2017-02-01,92.0095
2017-03-01,93.3526
2017-04-01,86.8386
2017-05-01,93.2361
2017-06-01,107.1009
2017-07-01,119.2874
2017-08-01,115.7108
2017-09-01,103.4070
2017-10-01,94.6492
2017-11-01,91.9079
2017-12-01,101.9883
2018-01-01,111.8520
2018-02-01,97.3261
2018-03-01,93.8406
2018-04-01,89.1873
2018-05-01,97.5860
2018-06-01,110.8580
2018-07-01,122.1014
2018-08-01,121.7765
2018-09-01,109.7190
